Axial_load,Confining_Pressure,Displesment,Pore_Pressure
0.790,81.050,0.344,8.830
1.040,78.950,0.028,8.080
1.250,81.530,0.054,8.670
0.700,81.820,0.078,9.200
0.920,82.110,0.105,9.410
1.170,82.490,0.130,9.470
1.400,82.920,0.155,9.470
1.760,82.830,0.175,8.880
1.870,83.590,0.204,8.940
2.080,82.010,0.230,8.720
2.200,82.490,0.254,8.940
2.300,83.110,0.278,8.990
2.180,82.780,0.306,8.780
2.480,82.680,0.332,9.250
2.510,82.880,0.360,9.040
2.510,83.640,0.386,8.990
2.530,83.210,0.411,9.040
2.700,82.300,0.436,8.780
2.820,83.210,0.463,9.040
2.880,82.680,0.488,8.830
2.970,82.200,0.514,8.990
3.130,82.730,0.541,9.040
3.050,82.590,0.563,8.990
3.200,82.590,0.590,9.090
3.180,82.880,0.617,9.090
3.100,83.550,0.646,9.150
3.040,83.160,0.671,9.150
3.220,82.400,0.695,8.780
3.360,81.820,0.721,8.880
3.490,82.250,0.747,9.040
3.540,81.870,0.769,8.830
3.680,82.300,0.797,9.040
3.710,82.250,0.823,9.200
3.820,82.780,0.850,9.200
3.940,83.400,0.873,9.200
3.910,81.820,0.901,8.990
3.980,82.590,0.926,9.250
4.170,83.110,0.950,9.250
4.160,81.920,0.977,8.830
4.260,82.830,1.001,9.250
4.290,82.490,1.028,9.150
4.260,82.400,1.055,9.250
4.420,81.770,1.080,8.940
4.420,82.350,1.107,9.150
4.560,83.070,1.133,9.360
4.480,82.880,1.159,9.090
4.590,82.300,1.185,9.250
4.640,82.440,1.209,9.310
4.680,82.300,1.238,9.250
4.730,82.680,1.263,9.310
4.760,81.920,1.287,9.250
4.810,82.640,1.309,9.310
4.760,82.590,1.336,9.360
4.880,83.160,1.362,9.410
4.960,81.630,1.389,8.830
5.080,82.680,1.414,9.310
5.160,82.440,1.440,9.310
4.990,82.350,1.467,9.250
4.990,82.350,1.490,9.310
5.010,82.540,1.517,9.410
5.170,82.830,1.543,9.520
5.120,82.060,1.567,9.200
5.150,82.300,1.591,9.470
5.190,82.350,1.617,9.470
5.220,82.490,1.642,9.410
5.240,82.110,1.671,9.470
5.330,82.300,1.696,9.470
5.350,82.780,1.724,9.470
5.520,82.160,1.750,9.410
5.410,82.680,1.776,9.470
5.330,82.400,1.802,9.470
5.450,82.780,1.825,9.520
5.460,83.210,1.852,9.570
5.590,82.250,1.878,8.990
5.610,82.250,1.904,9.410
5.620,82.250,1.932,9.520
5.710,82.350,1.956,9.520
5.760,82.880,1.980,9.570
5.800,83.400,2.005,9.570
5.810,83.590,2.031,9.570
5.880,82.010,2.057,9.470
5.870,82.640,2.082,9.570
5.890,83.110,2.109,9.630
5.850,83.640,2.135,9.680
5.770,82.880,2.163,9.890
5.800,83.450,2.184,9.630
5.930,82.680,2.212,9.570
5.940,82.110,2.237,9.680
6.050,82.730,2.265,9.680
6.030,83.110,2.287,9.630
6.060,83.690,2.315,9.730
6.030,82.400,2.339,9.630
6.250,83.500,2.365,9.680
6.140,82.780,2.393,9.730
6.320,83.350,2.416,9.680
6.340,82.780,2.442,9.680
6.450,82.640,2.466,9.730
6.450,82.160,2.494,9.730
6.430,82.780,2.518,9.730
6.490,83.260,2.544,9.730
6.370,82.490,2.571,9.310
6.560,82.400,2.596,9.730
6.430,82.160,2.622,9.680
6.560,82.730,2.649,9.730
6.630,82.490,2.673,9.790
6.690,82.680,2.700,9.790
6.670,82.440,2.725,9.730
6.710,82.970,2.755,9.840
6.840,83.450,2.778,9.840
6.800,82.680,2.802,9.790
6.820,82.780,2.829,9.840
6.890,83.310,2.855,9.840
6.960,82.350,2.881,9.410
6.930,81.960,2.907,9.790
6.830,82.300,2.935,9.730
6.940,82.400,2.959,9.890
7.050,82.300,2.985,9.730
7.110,82.440,3.011,9.840
6.930,82.730,3.035,9.840
7.080,81.920,3.060,9.890
7.100,82.490,3.087,9.890
7.050,82.540,3.113,10.160
7.220,82.440,3.140,9.890
7.130,82.200,3.164,9.790
7.160,82.110,3.191,9.840
7.240,82.540,3.216,9.950
7.240,82.350,3.243,9.950
7.220,82.200,3.270,9.840
7.330,82.730,3.294,9.950
7.340,82.160,3.321,9.950
7.290,81.870,3.346,9.890
7.490,82.440,3.373,10.050
7.520,82.780,3.399,10.050
7.540,82.490,3.424,10.000
7.620,82.300,3.451,10.000
7.660,82.440,3.476,10.050
7.600,82.540,3.502,10.050
7.540,82.300,3.532,10.050
7.640,81.920,3.554,9.730
7.590,82.490,3.580,10.050
7.660,82.060,3.605,10.050
7.730,82.440,3.632,10.050
7.620,82.200,3.657,10.160
7.690,82.300,3.682,10.050
7.720,82.350,3.707,10.110
7.820,82.200,3.734,9.790
7.730,82.200,3.762,9.890
7.790,82.490,3.788,10.110
7.920,82.440,3.814,10.160
7.900,82.160,3.838,10.110
7.890,82.680,3.865,10.160
7.970,82.490,3.891,10.160
8.050,82.010,3.918,10.050
8.070,82.400,3.942,10.110
7.960,82.440,3.968,10.160
8.110,81.770,3.995,10.160
8.180,82.970,4.020,10.210
8.240,83.350,4.046,10.160
8.210,82.590,4.070,10.160
8.340,82.540,4.097,10.210
8.340,82.250,4.125,10.210
8.340,82.780,4.149,10.270
8.410,82.490,4.175,10.210
8.510,81.920,4.201,10.210
8.560,82.440,4.228,10.270
8.530,82.920,4.254,10.210
8.520,83.310,4.279,10.320
8.500,82.540,4.306,10.000
8.650,82.110,4.325,10.270
8.740,82.730,4.355,10.320
8.700,83.210,4.383,10.320
8.670,83.590,4.408,10.320
8.640,82.400,4.435,10.270
8.650,81.730,4.459,10.160
8.740,82.300,4.484,10.370
8.830,82.730,4.512,10.320
8.820,83.160,4.537,10.370
8.990,83.550,4.563,10.320
8.920,81.960,4.588,10.160
8.840,82.590,4.617,10.370
8.890,82.970,4.642,10.370
8.900,83.450,4.666,10.420
8.940,82.730,4.697,10.420
8.910,82.060,4.720,10.420
8.980,82.540,4.747,10.420
9.040,82.970,4.771,10.480
9.090,83.350,4.795,10.420
9.220,82.400,4.821,10.320
9.330,81.870,4.848,10.270
9.440,82.250,4.872,10.420
9.400,82.680,4.899,10.480
9.470,83.070,4.926,10.530
9.390,83.500,4.951,10.530
9.430,82.440,4.978,10.480
9.560,82.160,5.004,10.530
9.580,82.640,5.030,10.530
9.670,82.200,5.055,10.480
9.680,82.640,5.082,10.530
9.700,82.400,5.107,10.480
9.650,82.680,5.133,10.480
9.600,82.060,5.156,10.580
9.490,82.490,5.184,10.530
9.540,82.250,5.210,10.580
9.560,82.640,5.237,10.580
9.440,82.300,5.262,10.580
9.460,81.920,5.288,10.320
9.490,82.540,5.312,10.580
9.440,82.160,5.340,10.580
9.560,82.010,5.365,10.420
9.420,82.300,5.390,10.530
9.090,82.590,5.415,10.580
9.230,82.110,5.439,10.530
8.560,82.400,5.479,10.580
8.760,82.680,5.506,10.640
8.860,82.300,5.532,10.690
8.960,82.160,5.557,10.580
9.120,82.400,5.582,10.690
9.140,82.730,5.611,10.690
9.280,82.060,5.636,10.530
9.230,82.350,5.662,10.640
9.270,82.200,5.688,10.580
9.470,82.300,5.708,10.640
9.470,82.440,5.740,10.740
9.510,82.200,5.764,10.530
9.650,81.530,5.789,10.480
9.540,82.400,5.815,10.740
9.660,82.880,5.841,10.690
9.610,83.260,5.869,10.740
9.470,83.590,5.906,10.740
9.470,82.490,5.931,10.740
9.550,82.920,5.959,10.800
9.610,83.350,5.985,10.800
9.680,82.200,6.010,10.420
9.650,82.440,6.036,10.800
9.730,82.400,6.062,10.740
9.840,82.490,6.090,10.850
9.820,82.110,6.115,10.740
9.840,82.590,6.141,10.850
9.830,82.300,6.166,10.800
9.770,82.730,6.192,10.850
9.840,82.490,6.217,10.850
9.640,82.250,6.243,10.850
9.770,82.680,6.270,10.800
9.780,82.490,6.296,10.800
9.610,81.920,6.336,10.850
9.650,82.490,6.361,10.900
9.670,82.970,6.386,10.850
9.750,83.310,6.413,10.900
9.720,82.830,6.439,10.800
9.730,82.350,6.461,10.900
9.870,82.010,6.490,10.800
9.840,82.400,6.517,10.960
9.670,82.300,6.542,10.900
9.820,82.680,6.566,10.900
9.900,82.350,6.591,10.850
9.940,82.060,6.619,10.640
10.050,82.490,6.646,10.850
9.980,82.920,6.669,10.960
9.970,83.260,6.696,10.960
10.130,83.590,6.720,10.960
10.030,82.780,6.748,10.960
10.190,83.210,6.775,11.010
10.000,83.550,6.805,11.010
9.970,82.110,6.825,10.800
9.880,82.200,6.867,11.010
9.880,82.590,6.892,11.010
9.970,82.350,6.920,11.010
10.050,82.440,6.947,11.060
10.120,82.440,6.972,11.010
10.100,82.400,6.997,11.010
10.060,81.490,7.023,10.740
10.210,82.350,7.048,11.120
10.370,82.730,7.074,11.060
10.380,82.200,7.099,11.010
10.390,82.440,7.124,11.060
10.390,82.250,7.153,11.060
10.430,82.590,7.178,11.120
10.440,82.590,7.205,11.120
10.470,82.110,7.231,11.060
10.600,82.440,7.256,11.120
10.640,82.250,7.283,11.120
10.700,82.250,7.307,11.010
10.750,82.300,7.332,11.170
10.860,82.110,7.360,11.120
10.880,82.400,7.385,11.170
10.740,82.590,7.411,11.170
10.860,81.920,7.435,11.170
10.880,82.350,7.462,11.120
10.920,82.110,7.486,11.170
10.880,82.300,7.514,11.120
10.700,82.440,7.540,11.220
10.790,81.960,7.565,11.170
10.680,82.350,7.590,11.280
10.670,81.920,7.617,11.170
10.780,82.300,7.643,11.280
10.790,82.640,7.669,11.220
10.870,82.920,7.693,11.440
10.870,83.260,7.719,11.280
10.950,83.500,7.745,11.280
10.780,82.110,7.768,11.170
10.880,82.490,7.798,11.280
10.900,82.250,7.824,11.280
10.960,82.300,7.850,11.330
10.940,81.920,7.875,11.330
10.900,82.300,7.900,11.330
10.970,82.680,7.928,11.380
11.050,82.160,7.955,11.330
11.150,82.540,7.978,11.330
11.190,82.250,8.004,11.330
11.140,82.200,8.030,11.280
11.230,82.590,8.055,11.380
11.240,82.110,8.081,11.330
11.260,82.490,8.107,11.330
11.280,82.110,8.132,11.330
11.060,82.540,8.158,11.380
11.130,82.300,8.184,11.380
11.140,82.200,8.209,11.330
11.130,82.590,8.238,11.440
11.030,82.300,8.262,11.380
11.060,82.490,8.288,11.380
11.170,82.160,8.311,11.330
11.230,82.540,8.339,11.440
11.230,82.160,8.365,11.220
11.330,82.540,8.388,11.380
11.290,82.350,8.417,11.440
11.240,82.440,8.443,11.490
11.280,82.350,8.470,11.490
11.350,82.110,8.495,11.440
11.390,82.490,8.519,11.490
11.250,82.060,8.544,11.490
11.400,82.440,8.570,11.490
11.630,82.110,8.596,11.330
11.560,82.110,8.621,11.540
11.650,82.440,8.648,11.490
11.630,82.350,8.676,11.540
11.730,82.060,8.699,11.380
11.570,82.160,8.726,11.540
11.610,82.540,8.752,11.540
11.720,81.960,8.778,11.330
11.790,82.160,8.804,11.490
11.780,82.490,8.829,11.490
11.780,81.680,8.858,11.280
11.670,82.640,8.882,11.650
11.730,83.070,8.906,11.590
11.770,83.350,8.934,11.590
11.820,83.640,8.960,11.590
11.870,82.160,8.986,11.330
11.940,81.580,9.012,11.330
11.860,83.160,9.038,11.590
11.790,83.450,9.070,11.590
11.680,82.200,9.089,11.170
11.900,81.820,9.117,11.590
11.910,82.300,9.142,11.590
12.010,82.680,9.169,11.650
11.980,82.200,9.193,11.650
12.060,82.590,9.220,11.650
12.130,82.160,9.248,11.650
12.060,82.920,9.271,11.700
12.050,83.210,9.297,11.650
12.010,83.500,9.321,11.700
12.130,82.350,9.348,11.650
12.180,82.780,9.374,11.700
12.150,83.070,9.400,11.650
12.140,83.350,9.425,11.700
12.250,82.010,9.453,11.380
12.260,82.110,9.476,11.590
12.140,82.590,9.502,11.750
12.150,82.920,9.528,11.750
12.160,83.210,9.554,11.750
12.110,83.450,9.582,11.750
12.060,82.250,9.606,11.590
12.170,82.640,9.630,11.810
11.860,82.250,9.656,11.700
11.960,82.680,9.683,11.750
11.040,82.440,9.734,11.860
11.100,82.200,9.766,11.700
11.230,82.400,9.792,11.700
11.230,81.870,9.820,11.810
11.420,82.640,9.845,11.910
11.730,83.020,9.872,11.860
11.310,83.310,9.918,11.860
11.380,83.550,9.941,11.860
11.600,81.920,9.968,11.650
11.530,82.490,9.994,11.860
11.550,82.110,10.022,11.860
11.520,82.400,10.046,11.750
11.620,82.110,10.071,11.860
11.620,82.400,10.098,11.910
11.620,81.920,10.125,11.860
11.590,82.250,10.150,11.970
11.680,82.590,10.175,11.910
11.730,82.160,10.200,11.810
11.750,82.250,10.227,11.810
11.640,82.160,10.253,11.970
11.650,82.350,10.276,11.910
11.640,82.010,10.305,11.910
11.690,82.350,10.329,11.910
11.790,82.060,10.356,11.860
11.790,82.350,10.380,11.910
11.840,82.400,10.408,11.910
11.860,82.160,10.432,11.910
12.200,82.400,10.457,11.910
11.930,81.870,10.483,11.970
12.040,82.200,10.508,11.970
11.870,82.350,10.535,11.970
12.020,82.350,10.562,12.020
12.060,82.540,10.586,12.020
12.170,82.060,10.613,12.070
12.190,82.400,10.641,12.020
12.180,82.640,10.666,12.070
12.180,81.820,10.689,12.020
12.230,82.350,10.715,12.130
12.260,82.400,10.741,12.020
12.340,82.300,10.768,12.070
12.120,82.060,10.794,11.910
12.200,82.400,10.818,12.070
12.250,82.440,10.845,12.130
12.390,82.640,10.871,12.070
12.210,82.440,10.896,12.180
12.230,82.350,10.923,12.070
12.290,82.350,10.949,12.020
12.050,82.440,10.981,12.130
12.130,82.590,11.031,12.130
12.120,82.110,11.055,12.180
11.920,82.440,11.081,12.130
12.100,82.060,11.107,12.180
12.230,82.440,11.132,12.130
12.380,82.540,11.158,12.130
12.460,82.200,11.184,12.230
12.320,82.590,11.210,12.180
12.500,82.490,11.236,12.130
12.620,82.350,11.262,12.230
12.350,82.730,11.288,12.180
12.520,82.440,11.313,12.230
12.560,82.250,11.340,12.180
12.420,82.060,11.367,12.180
12.370,82.490,11.394,12.230
12.060,82.350,11.431,12.230
12.290,82.110,11.464,12.180
12.380,82.300,11.492,12.130
11.950,82.440,11.514,12.180
12.170,82.730,11.542,12.230
