Axial_load,Confining_Pressure,Displesment,Pore_Pressure
1.460,63.040,0.000,4.040
1.590,63.190,0.015,4.040
1.830,63.430,0.042,4.100
2.270,63.620,0.066,4.040
2.470,63.430,0.083,4.100
2.870,63.430,0.109,4.040
3.390,63.520,0.134,4.040
3.680,63.520,0.157,4.040
4.160,62.560,0.181,3.670
4.400,63.570,0.204,3.990
4.850,63.620,0.224,4.040
5.190,63.230,0.244,4.040
5.360,63.330,0.260,3.940
5.680,63.380,0.275,4.040
5.880,63.470,0.292,3.990
6.080,63.520,0.305,4.040
6.130,63.570,0.317,4.040
6.410,63.660,0.331,4.040
6.570,62.710,0.343,3.990
6.740,62.850,0.357,4.040
6.820,62.900,0.367,3.990
6.920,62.990,0.377,4.040
7.030,63.040,0.388,3.940
7.240,63.140,0.397,3.990
7.330,63.190,0.406,3.990
7.490,63.230,0.415,3.990
7.530,63.280,0.422,3.990
7.690,63.380,0.429,4.100
7.690,63.430,0.436,3.990
7.880,63.570,0.443,4.100
8.010,62.850,0.451,3.830
8.010,62.900,0.457,3.990
8.110,62.950,0.463,3.990
8.180,62.990,0.469,3.990
8.320,63.140,0.474,4.040
8.340,63.190,0.479,4.040
8.320,63.190,0.484,3.940
8.420,63.280,0.488,4.040
8.500,63.330,0.492,4.040
8.570,63.380,0.497,3.990
8.590,63.470,0.501,3.990
8.690,63.520,0.507,3.990
8.770,63.620,0.510,3.990
8.840,62.470,0.514,3.940
8.900,62.750,0.518,3.990
8.910,62.950,0.523,3.990
8.880,63.190,0.526,4.040
9.040,63.470,0.529,4.100
9.000,62.560,0.533,3.940
9.060,63.190,0.537,4.040
9.200,62.280,0.538,3.620
9.130,62.800,0.541,3.990
9.200,63.280,0.545,4.040
9.360,62.510,0.549,3.720
9.370,62.900,0.552,4.040
9.440,62.950,0.555,4.040
9.440,62.990,0.559,4.040
9.520,63.090,0.560,3.990
9.550,63.090,0.565,4.040
9.580,63.190,0.567,3.990
9.590,63.280,0.569,4.040
9.550,63.280,0.572,3.940
9.720,63.380,0.574,3.990
9.800,63.430,0.578,3.990
9.870,63.520,0.582,3.990
9.920,63.570,0.584,4.040
9.860,62.710,0.587,3.830
9.910,62.850,0.590,4.040
9.930,62.990,0.593,4.040
10.030,63.040,0.596,4.040
10.070,63.090,0.599,4.040
10.080,63.140,0.602,4.040
10.170,63.190,0.606,4.040
10.270,63.280,0.610,3.990
10.300,63.330,0.612,4.040
10.360,63.380,0.617,4.100
10.350,63.470,0.618,4.040
10.370,63.470,0.623,3.990
10.380,63.520,0.627,4.040
10.550,63.570,0.629,4.040
10.520,62.950,0.630,3.990
10.640,63.040,0.633,4.100
10.720,63.140,0.639,4.040
10.690,63.140,0.642,4.040
10.760,63.230,0.645,3.990
10.790,63.230,0.649,4.040
10.850,63.330,0.650,3.940
10.930,63.430,0.652,4.100
10.970,63.520,0.657,4.040
10.950,63.520,0.661,4.040
11.050,63.570,0.665,4.040
11.120,63.620,0.669,4.040
11.140,62.950,0.673,4.040
11.240,63.090,0.678,4.040
11.350,63.140,0.682,4.040
11.420,63.190,0.688,4.040
11.460,63.280,0.692,3.990
11.380,63.280,0.695,3.990
11.450,63.330,0.698,4.040
11.470,63.380,0.701,4.040
11.470,63.430,0.703,4.040
11.550,63.520,0.705,4.040
11.550,63.520,0.709,4.040
11.680,62.660,0.711,3.670
11.700,62.950,0.714,3.990
11.630,63.090,0.715,4.040
11.790,63.190,0.719,3.990
11.800,63.280,0.720,4.040
11.850,63.470,0.722,4.040
11.810,62.750,0.726,3.780
11.820,62.990,0.729,3.990
11.910,63.090,0.732,4.040
11.940,63.140,0.734,3.990
11.950,63.190,0.736,4.040
11.930,63.230,0.738,4.040
12.030,63.330,0.742,3.990
12.120,63.380,0.744,4.040
12.110,63.430,0.747,4.040
12.110,63.470,0.751,4.040
12.230,63.520,0.754,4.040
12.320,63.570,0.758,4.040
12.350,63.620,0.761,4.040
12.330,62.900,0.766,3.990
12.430,63.040,0.770,4.040
12.520,63.090,0.773,3.990
12.450,63.090,0.776,3.940
12.480,63.140,0.780,4.040
12.580,63.190,0.783,4.040
12.570,63.230,0.787,3.990
12.590,63.330,0.791,4.040
12.590,63.380,0.793,3.990
12.610,63.380,0.795,3.990
12.720,63.470,0.797,4.040
12.700,63.520,0.798,4.040
12.600,63.520,0.801,4.040
12.710,63.090,0.804,4.040
12.780,63.140,0.806,4.040
12.830,63.190,0.808,4.040
12.740,63.230,0.811,4.040
12.900,63.280,0.815,4.040
12.840,63.330,0.817,4.040
12.790,63.380,0.819,4.040
12.880,63.470,0.819,4.100
12.900,63.520,0.822,4.040
12.870,63.520,0.825,3.990
12.960,63.570,0.828,4.100
12.990,62.900,0.832,3.990
12.930,62.990,0.833,4.040
13.050,63.040,0.838,4.040
13.100,63.090,0.841,4.100
13.140,63.140,0.844,3.990
13.110,63.230,0.845,3.990
13.160,63.230,0.849,3.990
13.200,63.280,0.854,4.040
13.290,63.330,0.857,4.040
13.280,63.380,0.859,4.040
13.270,63.470,0.862,4.040
13.350,63.570,0.867,4.040
13.390,63.570,0.872,3.990
13.410,63.620,0.875,4.040
13.410,63.660,0.880,4.040
13.450,62.800,0.883,4.040
13.480,62.950,0.888,4.040
13.580,62.950,0.891,3.990
13.610,62.990,0.896,4.040
13.540,63.040,0.898,3.990
13.590,63.140,0.902,3.990
13.590,63.230,0.906,4.040
13.690,63.190,0.910,3.990
13.800,63.330,0.913,3.990
13.750,63.280,0.917,4.040
13.760,63.330,0.921,4.040
13.840,63.430,0.927,3.990
13.960,63.470,0.935,4.040
14.120,63.520,0.940,4.100
14.090,63.520,0.946,3.990
14.120,63.620,0.949,4.040
14.070,62.660,0.955,3.990
14.140,62.800,0.962,4.040
14.190,63.040,0.968,4.040
14.230,63.230,0.974,4.100
14.320,63.470,0.980,4.040
14.330,63.090,0.987,4.040
14.290,62.660,0.993,4.040
14.390,63.090,1.001,4.040
